Year,State,District,GDP,GDPKC
2003,MP,Umaria,633.62,0.63362
2004,MP,Umaria,664.21,0.66421
2005,MP,Umaria,743.14,0.74314
2006,MP,Umaria,802.17,0.80217
2007,MP,Umaria,900.55,0.90055
1999,MP,Vidisha,1476.09,1.47609
2000,MP,Vidisha,1483.24,1.48324
2001,MP,Vidisha,1594.35,1.59435
2002,MP,Vidisha,1514.32,1.51432
2003,MP,Vidisha,1792.26,1.79226
2004,MP,Vidisha,1897.21,1.89721
2005,MP,Vidisha,2089.09,2.08909
2006,MP,Vidisha,2398.32,2.39832
2007,MP,Vidisha,2466.66,2.46666
1999,Odisha,Anugul,3360.52,3.36052
2000,Odisha,Anugul,3535.59,3.53559
2001,Odisha,Anugul,3341.74,3.34174
2002,Odisha,Anugul,3963.11,3.96311
2003,Odisha,Anugul,5091.29,5.09129
2004,Odisha,Anugul,6685.93,6.68593
2005,Odisha,Anugul,5731.67,5.73167
2006,Odisha,Anugul,6772.84,6.77284
1999,Odisha,Balangir,1416.82,1.41682
2000,Odisha,Balangir,1303.1,1.3031
2001,Odisha,Balangir,1494.95,1.49495
2002,Odisha,Balangir,1540.79,1.54079
2003,Odisha,Balangir,1950.3,1.9503
2004,Odisha,Balangir,2172.63,2.17263
2005,Odisha,Balangir,2316.48,2.31648
2006,Odisha,Balangir,2793.62,2.79362
1999,Odisha,Baleshwar,1814.49,1.81449
2000,Odisha,Baleshwar,1980.2,1.9802
2001,Odisha,Baleshwar,2049.86,2.04986
2002,Odisha,Baleshwar,2136.51,2.13651
2003,Odisha,Baleshwar,2600.69,2.60069
2004,Odisha,Baleshwar,3048.23,3.04823
2005,Odisha,Baleshwar,3328.25,3.32825
2006,Odisha,Baleshwar,4030.89,4.03089
1999,Odisha,Bargarh,1489.3,1.4893
2000,Odisha,Bargarh,1295.4,1.2954
2001,Odisha,Bargarh,1477.56,1.47756
2002,Odisha,Bargarh,1433.18,1.43318
2003,Odisha,Bargarh,1649.23,1.64923
2004,Odisha,Bargarh,1814.49,1.81449
2005,Odisha,Bargarh,2093.62,2.09362
2006,Odisha,Bargarh,2468.21,2.46821
1999,Odisha,Baudh,363.14,0.36314
2000,Odisha,Baudh,347.49,0.34749
2001,Odisha,Baudh,418.9,0.4189
2002,Odisha,Baudh,463.99,0.46399
2003,Odisha,Baudh,581.85,0.58185
2004,Odisha,Baudh,564.56,0.56456
2005,Odisha,Baudh,643.62,0.64362
2006,Odisha,Baudh,777.76,0.77776
1999,Odisha,Bhadrak,976.02,0.97602
2000,Odisha,Bhadrak,1002.5,1.0025
2001,Odisha,Bhadrak,1148.06,1.14806
2002,Odisha,Bhadrak,1286.82,1.28682
2003,Odisha,Bhadrak,1536.95,1.53695
2004,Odisha,Bhadrak,1727.23,1.72723
2005,Odisha,Bhadrak,1963.97,1.96397
2006,Odisha,Bhadrak,2279.66,2.27966
1999,Odisha,Cuttack,2962.05,2.96205
2000,Odisha,Cuttack,3080.9,3.0809
2001,Odisha,Cuttack,3376.66,3.37666
2002,Odisha,Cuttack,3665.55,3.66555
2003,Odisha,Cuttack,4172.58,4.17258
2004,Odisha,Cuttack,4992.13,4.99213
2005,Odisha,Cuttack,5505.14,5.50514
2006,Odisha,Cuttack,6585.89,6.58589
1999,Odisha,Debagarh,352.01,0.35201
2000,Odisha,Debagarh,326.95,0.32695
2001,Odisha,Debagarh,362.44,0.36244
2002,Odisha,Debagarh,316.09,0.31609
2003,Odisha,Debagarh,401.06,0.40106
2004,Odisha,Debagarh,398.93,0.39893
2005,Odisha,Debagarh,477.86,0.47786
2006,Odisha,Debagarh,594.3,0.5943
1999,Odisha,Dhenkanal,1123.75,1.12375
2000,Odisha,Dhenkanal,1143.03,1.14303
2001,Odisha,Dhenkanal,1237.35,1.23735
2002,Odisha,Dhenkanal,1333.76,1.33376
2003,Odisha,Dhenkanal,1657.59,1.65759
2004,Odisha,Dhenkanal,1816.49,1.81649
2005,Odisha,Dhenkanal,2052.15,2.05215
2006,Odisha,Dhenkanal,2448.28,2.44828
1999,Odisha,Gajapati,547.86,0.54786
2000,Odisha,Gajapati,554.76,0.55476
2001,Odisha,Gajapati,585.27,0.58527
2002,Odisha,Gajapati,643.71,0.64371
2003,Odisha,Gajapati,776.31,0.77631
2004,Odisha,Gajapati,803.65,0.80365
2005,Odisha,Gajapati,886.21,0.88621
2006,Odisha,Gajapati,1035.45,1.03545
1999,Odisha,Ganjam,3027.01,3.02701
2000,Odisha,Ganjam,3202.6,3.2026
2001,Odisha,Ganjam,3612.37,3.61237
2002,Odisha,Ganjam,3683,3.683
2003,Odisha,Ganjam,4408.78,4.40878
2004,Odisha,Ganjam,4841.61,4.84161
2005,Odisha,Ganjam,5320.71,5.32071
2006,Odisha,Ganjam,6472.11,6.47211
1999,Odisha,Jagatsinghapur,1103.88,1.10388
2000,Odisha,Jagatsinghapur,1236.93,1.23693
2001,Odisha,Jagatsinghapur,1624.29,1.62429
2002,Odisha,Jagatsinghapur,1629.24,1.62924
2003,Odisha,Jagatsinghapur,2001.48,2.00148
2004,Odisha,Jagatsinghapur,2566.53,2.56653
2005,Odisha,Jagatsinghapur,2477.87,2.47787
2006,Odisha,Jagatsinghapur,3075.47,3.07547
1999,Odisha,Jajapur,1500.4,1.5004
2000,Odisha,Jajapur,1579.74,1.57974
2001,Odisha,Jajapur,1626.93,1.62693
2002,Odisha,Jajapur,1839.89,1.83989
2003,Odisha,Jajapur,2133.61,2.13361
2004,Odisha,Jajapur,2559.02,2.55902
2005,Odisha,Jajapur,3595.02,3.59502
2006,Odisha,Jajapur,4377.67,4.37767
1999,Odisha,Jharsuguda,1185.52,1.18552
2000,Odisha,Jharsuguda,1203.49,1.20349
2001,Odisha,Jharsuguda,1337.59,1.33759
2002,Odisha,Jharsuguda,1355.69,1.35569
2003,Odisha,Jharsuguda,1666.84,1.66684
2004,Odisha,Jharsuguda,2042.78,2.04278
2005,Odisha,Jharsuguda,2236.26,2.23626
2006,Odisha,Jharsuguda,2572.01,2.57201
1999,Odisha,Kalahandi,1359.63,1.35963
2000,Odisha,Kalahandi,1363.41,1.36341
2001,Odisha,Kalahandi,1378.95,1.37895
2002,Odisha,Kalahandi,1359.57,1.35957
2003,Odisha,Kalahandi,1723.89,1.72389
2004,Odisha,Kalahandi,1829.8,1.8298
2005,Odisha,Kalahandi,2121.21,2.12121
2006,Odisha,Kalahandi,2370.75,2.37075
1999,Odisha,Kandhamal,810.11,0.81011
2000,Odisha,Kandhamal,810.72,0.81072
2001,Odisha,Kandhamal,910.58,0.91058
2002,Odisha,Kandhamal,1068.89,1.06889
2003,Odisha,Kandhamal,1263.33,1.26333
2004,Odisha,Kandhamal,1396.57,1.39657
2005,Odisha,Kandhamal,1462.69,1.46269
2006,Odisha,Kandhamal,1800.15,1.80015
1999,Odisha,Kendrapara,1011.86,1.01186
2000,Odisha,Kendrapara,1065.36,1.06536
2001,Odisha,Kendrapara,1136.58,1.13658
2002,Odisha,Kendrapara,1212.12,1.21212
2003,Odisha,Kendrapara,1428.7,1.4287
2004,Odisha,Kendrapara,1644.79,1.64479
2005,Odisha,Kendrapara,1800.82,1.80082
2006,Odisha,Kendrapara,2027.55,2.02755
1999,Odisha,Kendujhar,1886.31,1.88631
2000,Odisha,Kendujhar,1860.3,1.8603
2001,Odisha,Kendujhar,2012.92,2.01292
2002,Odisha,Kendujhar,2393.51,2.39351
2003,Odisha,Kendujhar,3710.66,3.71066
2004,Odisha,Kendujhar,4269.69,4.26969
2005,Odisha,Kendujhar,5542.43,5.54243
2006,Odisha,Kendujhar,6865.8,6.8658
1999,Odisha,Khordha,2936.35,2.93635
2000,Odisha,Khordha,3128.08,3.12808
2001,Odisha,Khordha,3412.03,3.41203
2002,Odisha,Khordha,3623.05,3.62305
2003,Odisha,Khordha,4223.26,4.22326
2004,Odisha,Khordha,4927.26,4.92726
2005,Odisha,Khordha,5709.64,5.70964
2006,Odisha,Khordha,7021.1,7.0211
1999,Odisha,Koraput,1504.34,1.50434
2000,Odisha,Koraput,1549.55,1.54955
2001,Odisha,Koraput,2055.52,2.05552
2002,Odisha,Koraput,1889.54,1.88954
2003,Odisha,Koraput,2347.76,2.34776
2004,Odisha,Koraput,3078.66,3.07866
2005,Odisha,Koraput,2438.24,2.43824
2006,Odisha,Koraput,3153.9,3.1539
1999,Odisha,Malkangiri,532.64,0.53264
2000,Odisha,Malkangiri,502.8,0.5028
2001,Odisha,Malkangiri,521.98,0.52198
2002,Odisha,Malkangiri,539.7,0.5397
2003,Odisha,Malkangiri,659.52,0.65952
2004,Odisha,Malkangiri,687.6,0.6876
2005,Odisha,Malkangiri,718.3,0.7183
2006,Odisha,Malkangiri,897.78,0.89778
1999,Odisha,Mayurbhanj,2003.64,2.00364
2000,Odisha,Mayurbhanj,2039.68,2.03968
2001,Odisha,Mayurbhanj,2172.98,2.17298
2002,Odisha,Mayurbhanj,2353.82,2.35382
2003,Odisha,Mayurbhanj,2857.18,2.85718
2004,Odisha,Mayurbhanj,3092.71,3.09271
2005,Odisha,Mayurbhanj,3279.37,3.27937
2006,Odisha,Mayurbhanj,3913.05,3.91305
1999,Odisha,Nabarangapur,916.45,0.91645
2000,Odisha,Nabarangapur,886.1,0.8861
2001,Odisha,Nabarangapur,927.47,0.92747
2002,Odisha,Nabarangapur,957.55,0.95755
2003,Odisha,Nabarangapur,1067.21,1.06721
2004,Odisha,Nabarangapur,1230.65,1.23065
2005,Odisha,Nabarangapur,1324.74,1.32474
2006,Odisha,Nabarangapur,1649.11,1.64911
1999,Odisha,Nayagarh,666.71,0.66671
2000,Odisha,Nayagarh,674.77,0.67477
2001,Odisha,Nayagarh,761.23,0.76123
2002,Odisha,Nayagarh,794.21,0.79421
2003,Odisha,Nayagarh,981.18,0.98118
2004,Odisha,Nayagarh,1021.04,1.02104
2005,Odisha,Nayagarh,1153.54,1.15354
2006,Odisha,Nayagarh,1372.54,1.37254
1999,Odisha,Nuapada,559.62,0.55962
2000,Odisha,Nuapada,550.1,0.5501
2001,Odisha,Nuapada,605.33,0.60533
2002,Odisha,Nuapada,562.26,0.56226
2003,Odisha,Nuapada,701.28,0.70128
2004,Odisha,Nuapada,723.49,0.72349
2005,Odisha,Nuapada,798.6,0.7986
2006,Odisha,Nuapada,790.41,0.79041
1999,Odisha,Puri,1435.63,1.43563
2000,Odisha,Puri,1445.79,1.44579
2001,Odisha,Puri,1577.67,1.57767
2002,Odisha,Puri,1755.41,1.75541
2003,Odisha,Puri,2097.76,2.09776
2004,Odisha,Puri,2325.77,2.32577
2005,Odisha,Puri,2574.2,2.5742
2006,Odisha,Puri,2704.72,2.70472
1999,Odisha,Rayagada,940.57,0.94057
2000,Odisha,Rayagada,974.39,0.97439
2001,Odisha,Rayagada,1047.56,1.04756
2002,Odisha,Rayagada,1122.53,1.12253
2003,Odisha,Rayagada,1402.16,1.40216
2004,Odisha,Rayagada,1672.97,1.67297
2005,Odisha,Rayagada,1523.68,1.52368
2006,Odisha,Rayagada,1960.9,1.9609
1999,Odisha,Sambalpur,1505.6,1.5056
2000,Odisha,Sambalpur,1420.69,1.42069
2001,Odisha,Sambalpur,1535.25,1.53525
2002,Odisha,Sambalpur,1535.31,1.53531
2003,Odisha,Sambalpur,1853.75,1.85375
2004,Odisha,Sambalpur,2097.88,2.09788
2005,Odisha,Sambalpur,2492.05,2.49205
2006,Odisha,Sambalpur,2944.35,2.94435
1999,Odisha,Sonapur,494.2,0.4942
2000,Odisha,Sonapur,429.2,0.4292
2001,Odisha,Sonapur,492.86,0.49286
2002,Odisha,Sonapur,529.64,0.52964
2003,Odisha,Sonapur,618.87,0.61887
2004,Odisha,Sonapur,708.9,0.7089
2005,Odisha,Sonapur,800.88,0.80088
2006,Odisha,Sonapur,975.08,0.97508
1999,Odisha,Sundargarh,3123.19,3.12319
2000,Odisha,Sundargarh,2999.2,2.9992
2001,Odisha,Sundargarh,2703.43,2.70343
2002,Odisha,Sundargarh,3234.62,3.23462
2003,Odisha,Sundargarh,3857.19,3.85719
2004,Odisha,Sundargarh,4686.04,4.68604
2005,Odisha,Sundargarh,6075.38,6.07538
2006,Odisha,Sundargarh,8154.16,8.15416
1999,Punjab,Amritsar,7705.34,7.70534
2000,Punjab,Amritsar,8718.08,8.71808
2001,Punjab,Amritsar,9366.43,9.36643
2002,Punjab,Amritsar,9696.42,9.69642
2003,Punjab,Amritsar,10321.37,10.32137
2004,Punjab,Amritsar,11439.45,11.43945
2005,Punjab,Amritsar,12680.92,12.68092
1999,Punjab,Bathinda,2995.47,2.99547
2000,Punjab,Bathinda,3506.33,3.50633
2001,Punjab,Bathinda,3434.66,3.43466
2002,Punjab,Bathinda,3656.82,3.65682
2003,Punjab,Bathinda,4106.21,4.10621
2004,Punjab,Bathinda,4335.48,4.33548
2005,Punjab,Bathinda,4895.52,4.89552
1999,Punjab,Faridkot,1577.58,1.57758
2000,Punjab,Faridkot,1748.85,1.74885
2001,Punjab,Faridkot,1816.66,1.81666
2002,Punjab,Faridkot,1831.84,1.83184
2003,Punjab,Faridkot,2013.52,2.01352
2004,Punjab,Faridkot,2191.72,2.19172
2005,Punjab,Faridkot,2470.3,2.4703
1999,Punjab,Fatehgarh.Sahib,1880.52,1.88052
2000,Punjab,Fatehgarh.Sahib,1901.69,1.90169
2001,Punjab,Fatehgarh.Sahib,2118.14,2.11814
2002,Punjab,Fatehgarh.Sahib,2093.27,2.09327
2003,Punjab,Fatehgarh.Sahib,2329.46,2.32946
2004,Punjab,Fatehgarh.Sahib,2487.74,2.48774
2005,Punjab,Fatehgarh.Sahib,2777.95,2.77795
1999,Punjab,Firozpur,4847.81,4.84781
2000,Punjab,Firozpur,5180.39,5.18039
2001,Punjab,Firozpur,5277.07,5.27707
2002,Punjab,Firozpur,5350.56,5.35056
2003,Punjab,Firozpur,6146.66,6.14666
2004,Punjab,Firozpur,6342.11,6.34211
2005,Punjab,Firozpur,7123.47,7.12347
1999,Punjab,Gurdaspur,4701.19,4.70119
2000,Punjab,Gurdaspur,5273.87,5.27387
2001,Punjab,Gurdaspur,5601.89,5.60189
2002,Punjab,Gurdaspur,5654.46,5.65446
2003,Punjab,Gurdaspur,6277.68,6.27768
2004,Punjab,Gurdaspur,6652.76,6.65276
2005,Punjab,Gurdaspur,7667.49,7.66749
1999,Punjab,Hoshiarpur,3530.46,3.53046
2000,Punjab,Hoshiarpur,3765.53,3.76553
2001,Punjab,Hoshiarpur,4161.08,4.16108
2002,Punjab,Hoshiarpur,4285.19,4.28519
2003,Punjab,Hoshiarpur,4679.82,4.67982
2004,Punjab,Hoshiarpur,5240.67,5.24067
2005,Punjab,Hoshiarpur,5953.47,5.95347
1999,Punjab,Jalandhar,5998.73,5.99873
2000,Punjab,Jalandhar,6140.68,6.14068
2001,Punjab,Jalandhar,6731.55,6.73155
2002,Punjab,Jalandhar,7032.41,7.03241
2003,Punjab,Jalandhar,7606.64,7.60664
2004,Punjab,Jalandhar,8392.72,8.39272
2005,Punjab,Jalandhar,9555.01,9.55501
1999,Punjab,Kapurthala,2187,2.187
2000,Punjab,Kapurthala,2544.15,2.54415
2001,Punjab,Kapurthala,2601.61,2.60161
2002,Punjab,Kapurthala,2699.87,2.69987
2003,Punjab,Kapurthala,2937.91,2.93791
2004,Punjab,Kapurthala,3163.75,3.16375
2005,Punjab,Kapurthala,3607,3.607
1999,Punjab,Ludhiana,9529.69,9.52969
2000,Punjab,Ludhiana,10929.3,10.9293
2001,Punjab,Ludhiana,11907.21,11.90721
2002,Punjab,Ludhiana,12307.95,12.30795
2003,Punjab,Ludhiana,13615.84,13.61584
2004,Punjab,Ludhiana,14773.98,14.77398
2005,Punjab,Ludhiana,16863.54,16.86354
1999,Punjab,Mansa,1652.84,1.65284
2000,Punjab,Mansa,1835.36,1.83536
2001,Punjab,Mansa,1826.67,1.82667
2002,Punjab,Mansa,1922.62,1.92262
2003,Punjab,Mansa,2201.55,2.20155
2004,Punjab,Mansa,2341.75,2.34175
2005,Punjab,Mansa,2634.75,2.63475
1999,Punjab,Moga,2405.26,2.40526
2000,Punjab,Moga,3171.82,3.17182
2001,Punjab,Moga,3492.69,3.49269
2002,Punjab,Moga,3556.55,3.55655
2003,Punjab,Moga,3907.05,3.90705
2004,Punjab,Moga,4237.54,4.23754
2005,Punjab,Moga,4565.22,4.56522
1999,Punjab,Mukatsar,1881.46,1.88146
2000,Punjab,Mukatsar,2099.9,2.0999
2001,Punjab,Mukatsar,2238.25,2.23825
2002,Punjab,Mukatsar,2278.83,2.27883
2003,Punjab,Mukatsar,2588.87,2.58887
2004,Punjab,Mukatsar,2796.65,2.79665
2005,Punjab,Mukatsar,3203.58,3.20358
1999,Punjab,Patiala,5425.62,5.42562
2000,Punjab,Patiala,6008.07,6.00807
2001,Punjab,Patiala,6486.61,6.48661
2002,Punjab,Patiala,6566.81,6.56681
2003,Punjab,Patiala,6986.79,6.98679
2004,Punjab,Patiala,7579.59,7.57959
2005,Punjab,Patiala,8698.98,8.69898
1999,Punjab,Roopnagar,3184.72,3.18472
2000,Punjab,Roopnagar,3372.73,3.37273
2001,Punjab,Roopnagar,3751.71,3.75171
2002,Punjab,Roopnagar,3870.39,3.87039
2003,Punjab,Roopnagar,3883.63,3.88363
2004,Punjab,Roopnagar,4295.74,4.29574
2005,Punjab,Roopnagar,4742.67,4.74267
1999,Punjab,Sangrur,5800.01,5.80001
2000,Punjab,Sangrur,6402.95,6.40295
2001,Punjab,Sangrur,6714.1,6.7141
2002,Punjab,Sangrur,7230.21,7.23021
2003,Punjab,Sangrur,7622.36,7.62236
2004,Punjab,Sangrur,8361.5,8.3615
2005,Punjab,Sangrur,9112.57,9.11257
1999,Punjab,Shahid.Bhagat.Singh.Nagar..Nawan.Shehar.,1872.53,1.87253
2000,Punjab,Shahid.Bhagat.Singh.Nagar..Nawan.Shehar.,2110.07,2.11007
2001,Punjab,Shahid.Bhagat.Singh.Nagar..Nawan.Shehar.,2169.52,2.16952
2002,Punjab,Shahid.Bhagat.Singh.Nagar..Nawan.Shehar.,2305.03,2.30503
2003,Punjab,Shahid.Bhagat.Singh.Nagar..Nawan.Shehar.,2592.85,2.59285
2004,Punjab,Shahid.Bhagat.Singh.Nagar..Nawan.Shehar.,2818.42,2.81842
2005,Punjab,Shahid.Bhagat.Singh.Nagar..Nawan.Shehar.,3182.22,3.18222
1999,Rajasthan,Ajmer,3603.13,3.60313
2000,Rajasthan,Ajmer,3706.19,3.70619
2001,Rajasthan,Ajmer,4017.87,4.01787
2002,Rajasthan,Ajmer,4026.1,4.0261
2003,Rajasthan,Ajmer,4550.69,4.55069
2004,Rajasthan,Ajmer,5038.52,5.03852
2005,Rajasthan,Ajmer,5425.43,5.42543
1999,Rajasthan,Alwar,5328.11,5.32811
2000,Rajasthan,Alwar,5275.55,5.27555
2001,Rajasthan,Alwar,5196.81,5.19681
2002,Rajasthan,Alwar,5498.46,5.49846
2003,Rajasthan,Alwar,6724.55,6.72455
2004,Rajasthan,Alwar,7292.39,7.29239
2005,Rajasthan,Alwar,8002.18,8.00218
1999,Rajasthan,Banswara,1545.24,1.54524
2000,Rajasthan,Banswara,1470.13,1.47013
2001,Rajasthan,Banswara,1665.85,1.66585
2002,Rajasthan,Banswara,1749.41,1.74941
2003,Rajasthan,Banswara,2074.51,2.07451
2004,Rajasthan,Banswara,2153.48,2.15348
2005,Rajasthan,Banswara,2457.66,2.45766
1999,Rajasthan,Baran,1445.68,1.44568
2000,Rajasthan,Baran,1525.06,1.52506
2001,Rajasthan,Baran,1722.83,1.72283
2002,Rajasthan,Baran,1374.35,1.37435
2003,Rajasthan,Baran,2102.03,2.10203
2004,Rajasthan,Baran,2367.88,2.36788
2005,Rajasthan,Baran,2605.28,2.60528
1999,Rajasthan,Barmer,1838.21,1.83821
2000,Rajasthan,Barmer,2140.29,2.14029
2001,Rajasthan,Barmer,2549.93,2.54993
2002,Rajasthan,Barmer,2315.28,2.31528
2003,Rajasthan,Barmer,3424.85,3.42485
2004,Rajasthan,Barmer,2897.07,2.89707
2005,Rajasthan,Barmer,3112.92,3.11292
1999,Rajasthan,Bharatpur,2577.87,2.57787
2000,Rajasthan,Bharatpur,2757.47,2.75747
2001,Rajasthan,Bharatpur,2755.51,2.75551
2002,Rajasthan,Bharatpur,2560.66,2.56066
2003,Rajasthan,Bharatpur,3413.99,3.41399
2004,Rajasthan,Bharatpur,3427.8,3.4278
2005,Rajasthan,Bharatpur,3823.16,3.82316
1999,Rajasthan,Bhilwara,4078.49,4.07849
2000,Rajasthan,Bhilwara,3848.09,3.84809
2001,Rajasthan,Bhilwara,3808.69,3.80869
2002,Rajasthan,Bhilwara,4270.82,4.27082
2003,Rajasthan,Bhilwara,5003.14,5.00314
2004,Rajasthan,Bhilwara,5988.83,5.98883
2005,Rajasthan,Bhilwara,6287.01,6.28701
1999,Rajasthan,Bikaner,2916.73,2.91673
2000,Rajasthan,Bikaner,3019.94,3.01994
2001,Rajasthan,Bikaner,3503.22,3.50322
2002,Rajasthan,Bikaner,2671.45,2.67145
2003,Rajasthan,Bikaner,4371.81,4.37181
2004,Rajasthan,Bikaner,3938.73,3.93873
2005,Rajasthan,Bikaner,3944.57,3.94457
1999,Rajasthan,Bundi,1592.08,1.59208
2000,Rajasthan,Bundi,1440.25,1.44025
2001,Rajasthan,Bundi,1636.22,1.63622
2002,Rajasthan,Bundi,1514.18,1.51418
2003,Rajasthan,Bundi,1980.63,1.98063
2004,Rajasthan,Bundi,2093.16,2.09316
2005,Rajasthan,Bundi,2375.28,2.37528
1999,Rajasthan,Chittorgarh,2755.2,2.7552
2000,Rajasthan,Chittorgarh,2361.51,2.36151
2001,Rajasthan,Chittorgarh,2857.14,2.85714
2002,Rajasthan,Chittorgarh,2786.01,2.78601
2003,Rajasthan,Chittorgarh,3310.36,3.31036
2004,Rajasthan,Chittorgarh,3624.56,3.62456
2005,Rajasthan,Chittorgarh,4023.49,4.02349
1999,Rajasthan,Churu,1707.11,1.70711
2000,Rajasthan,Churu,1737.61,1.73761
2001,Rajasthan,Churu,2054.16,2.05416
2002,Rajasthan,Churu,1860.99,1.86099
2003,Rajasthan,Churu,2657.12,2.65712
2004,Rajasthan,Churu,2554,2.554
2005,Rajasthan,Churu,2691.09,2.69109
1999,Rajasthan,Dausa,1444.88,1.44488
2000,Rajasthan,Dausa,1466.59,1.46659
2001,Rajasthan,Dausa,1672.36,1.67236
2002,Rajasthan,Dausa,1668.9,1.6689
2003,Rajasthan,Dausa,2101.64,2.10164
2004,Rajasthan,Dausa,1861.59,1.86159
2005,Rajasthan,Dausa,2112.6,2.1126
1999,Rajasthan,Dholpur,932.3,0.9323
2000,Rajasthan,Dholpur,864.19,0.86419
2001,Rajasthan,Dholpur,1052.64,1.05264
2002,Rajasthan,Dholpur,1074.97,1.07497
2003,Rajasthan,Dholpur,1309.09,1.30909
2004,Rajasthan,Dholpur,1294.93,1.29493
2005,Rajasthan,Dholpur,1576.92,1.57692
1999,Rajasthan,Dungarpur,1196.87,1.19687
2000,Rajasthan,Dungarpur,1183.89,1.18389
2001,Rajasthan,Dungarpur,1276.56,1.27656
2002,Rajasthan,Dungarpur,1296,1.296
2003,Rajasthan,Dungarpur,1547.77,1.54777
2004,Rajasthan,Dungarpur,1671.96,1.67196
2005,Rajasthan,Dungarpur,1829.67,1.82967
1999,Rajasthan,Ganga.Nagar,3924.02,3.92402
2000,Rajasthan,Ganga.Nagar,3570.95,3.57095
2001,Rajasthan,Ganga.Nagar,3558.63,3.55863
2002,Rajasthan,Ganga.Nagar,3564.25,3.56425
2003,Rajasthan,Ganga.Nagar,4474.63,4.47463
2004,Rajasthan,Ganga.Nagar,4497.77,4.49777
2005,Rajasthan,Ganga.Nagar,5117.71,5.11771
1999,Rajasthan,Hanumangarh,2577.36,2.57736
2000,Rajasthan,Hanumangarh,2437.45,2.43745
2001,Rajasthan,Hanumangarh,2616.53,2.61653
2002,Rajasthan,Hanumangarh,2587.73,2.58773
2003,Rajasthan,Hanumangarh,3408.53,3.40853
2004,Rajasthan,Hanumangarh,3445.29,3.44529
2005,Rajasthan,Hanumangarh,3881.98,3.88198
1999,Rajasthan,Jaipur,10277.44,10.27744
2000,Rajasthan,Jaipur,10377.02,10.37702
2001,Rajasthan,Jaipur,11854.43,11.85443
2002,Rajasthan,Jaipur,12000.81,12.00081
2003,Rajasthan,Jaipur,13799.16,13.79916
2004,Rajasthan,Jaipur,15146.64,15.14664
2005,Rajasthan,Jaipur,17233.77,17.23377
1999,Rajasthan,Jaisalmer,693.56,0.69356
2000,Rajasthan,Jaisalmer,752.14,0.75214
2001,Rajasthan,Jaisalmer,855.89,0.85589
2002,Rajasthan,Jaisalmer,769.52,0.76952
2003,Rajasthan,Jaisalmer,1039.22,1.03922
2004,Rajasthan,Jaisalmer,1013.55,1.01355
2005,Rajasthan,Jaisalmer,1387.77,1.38777
1999,Rajasthan,Jalore,1626.85,1.62685
2000,Rajasthan,Jalore,1586.25,1.58625
2001,Rajasthan,Jalore,2184.53,2.18453
2002,Rajasthan,Jalore,1816.42,1.81642
2003,Rajasthan,Jalore,2534.65,2.53465
2004,Rajasthan,Jalore,2269.85,2.26985
2005,Rajasthan,Jalore,2437.39,2.43739
1999,Rajasthan,Jhalawar,1688.1,1.6881
2000,Rajasthan,Jhalawar,1492.89,1.49289
2001,Rajasthan,Jhalawar,1675.78,1.67578
2002,Rajasthan,Jhalawar,1527.25,1.52725
2003,Rajasthan,Jhalawar,2096.42,2.09642
2004,Rajasthan,Jhalawar,2343.89,2.34389
2005,Rajasthan,Jhalawar,2407.65,2.40765
1999,Rajasthan,Jhunjhunu,2239.82,2.23982
2000,Rajasthan,Jhunjhunu,2326.11,2.32611
2001,Rajasthan,Jhunjhunu,2574.53,2.57453
2002,Rajasthan,Jhunjhunu,2516.18,2.51618
2003,Rajasthan,Jhunjhunu,3071.86,3.07186
2004,Rajasthan,Jhunjhunu,3260.54,3.26054
2005,Rajasthan,Jhunjhunu,3564.72,3.56472
1999,Rajasthan,Jodhpur,4149.81,4.14981
2000,Rajasthan,Jodhpur,4360.65,4.36065
2001,Rajasthan,Jodhpur,5079.96,5.07996
2002,Rajasthan,Jodhpur,4745.92,4.74592
2003,Rajasthan,Jodhpur,5998.75,5.99875
2004,Rajasthan,Jodhpur,6243.18,6.24318
2005,Rajasthan,Jodhpur,6906.76,6.90676
1999,Rajasthan,Karauli,1367.76,1.36776
2000,Rajasthan,Karauli,1248.14,1.24814
2001,Rajasthan,Karauli,1329.53,1.32953
2002,Rajasthan,Karauli,1437.03,1.43703
2003,Rajasthan,Karauli,1894.97,1.89497
2004,Rajasthan,Karauli,1957.45,1.95745
2005,Rajasthan,Karauli,2117.3,2.1173
1999,Rajasthan,Kota,3010.13,3.01013
2000,Rajasthan,Kota,3144.61,3.14461
2001,Rajasthan,Kota,3435.65,3.43565
2002,Rajasthan,Kota,3112.67,3.11267
2003,Rajasthan,Kota,4008.21,4.00821
2004,Rajasthan,Kota,4261.47,4.26147
2005,Rajasthan,Kota,4774.43,4.77443
1999,Rajasthan,Nagaur,2922,2.922
2000,Rajasthan,Nagaur,3155.94,3.15594
2001,Rajasthan,Nagaur,3557.98,3.55798
2002,Rajasthan,Nagaur,3323.79,3.32379
2003,Rajasthan,Nagaur,4421.75,4.42175
2004,Rajasthan,Nagaur,4467.08,4.46708
2005,Rajasthan,Nagaur,5014.02,5.01402
1999,Rajasthan,Pali,2497.82,2.49782
2000,Rajasthan,Pali,2472.31,2.47231
2001,Rajasthan,Pali,2761.52,2.76152
2002,Rajasthan,Pali,2792.54,2.79254
2003,Rajasthan,Pali,3575.32,3.57532
2004,Rajasthan,Pali,3785.92,3.78592
2005,Rajasthan,Pali,4009.03,4.00903
